"Story","Title","Result","Date","Stability","Duration (s)"
"Sauce product cart","Add to Cart from All Products Page","SUCCESS","2021-10-20T16:03:32.617+05:30[Asia/Calcutta]","0.0","8.6"
"Sauce product cart","Add to Cart from Product Details Page","SUCCESS","2021-10-20T16:03:41.841+05:30[Asia/Calcutta]","0.0","6.61"
